"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,120,"GRM"
24,6,2,4,"true","true",128,2,1.41639115932257e-10,120,"GRM"
18,6,4,4,"true","true",256,2,1.83735207560121e-10,120,"GRM"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GRM"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,120,"GRM"
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
8,4,1,2,"true","false",512,2,1.47582836345088e-10,120,"GRM"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GRM"
24,6,1,2,"true","false",256,4,1.43289319112263e-10,120,"GRM"
2,1,2,4,"true","true",1024,2,2.66531950754691e-10,120,"GRM"
12,3,1,2,"true","true",128,2,1.73492204475568e-10,120,"GRM"
24,6,1,4,"true","false",256,2,1.43321809384467e-10,120,"GRM"
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"GRM"
12,6,2,4,"true","true",64,2,1.37227036791841e-10,120,"GRM"
10,5,2,4,"true","true",512,4,1.40742193789431e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
12,6,2,2,"true","true",64,2,1.37438647006306e-10,120,"GRM"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GRM"
2,2,1,2,"true","true",128,1,1.57470011440961e-10,120,"GRM"
15,5,1,4,"true","false",1024,32,1.96147299996534e-10,120,"GRM"
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GRM"
12,6,1,2,"true","true",256,2,1.36286375373921e-10,120,"GRM"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GRM"
3,3,1,4,"true","true",256,4,1.35697524537269e-10,120,"GRM"
12,6,1,2,"true","true",256,2,1.36286375373921e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
16,4,4,2,"true","true",256,8,1.6040413531583e-10,120,"GRM"
24,6,4,2,"true","true",256,4,1.43377486488586e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
5,5,1,4,"true","true",256,8,1.22538344930662e-10,120,"GRM"
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GRM"
8,2,1,2,"true","false",512,8,2.10257190649468e-10,120,"GRM"
24,6,4,2,"true","false",256,4,1.43064682433489e-10,120,"GRM"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,120,"GRM"
5,5,1,4,"true","false",256,4,1.21905973842592e-10,120,"GRM"
24,6,4,2,"true","false",256,4,1.43064682433489e-10,120,"GRM"
6,3,2,4,"true","true",128,2,1.59310753058631e-10,120,"GRM"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"GRM"
20,5,2,2,"true","false",256,4,1.48858292705467e-10,120,"GRM"
8,2,2,2,"true","true",512,4,2.07448119990663e-10,120,"GRM"
20,5,2,2,"true","false",256,4,1.48858292705467e-10,120,"GRM"
10,5,1,4,"true","true",512,16,1.4760907696458e-10,120,"GRM"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,120,"GRM"
15,5,4,4,"true","true",128,4,1.93464719810653e-10,120,"GRM"
8,4,1,2,"true","true",256,2,1.46003801983851e-10,120,"GRM"
24,6,4,2,"true","false",64,1,1.42216872824127e-10,120,"GRM"
2,2,1,2,"true","true",1024,32,1.64959521349263e-10,120,"GRM"
24,6,4,2,"true","false",64,1,1.42216872824127e-10,120,"GRM"
18,6,4,2,"true","true",128,4,1.85126994889401e-10,120,"GRM"
6,6,1,2,"true","true",512,16,1.20561345004917e-10,120,"GRM"
8,2,4,2,"true","false",256,4,2.07214474054074e-10,120,"GRM"
4,4,1,4,"true","true",256,4,1.25460339973732e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
6,6,1,4,"true","false",512,16,1.21819487424608e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
6,6,1,4,"true","true",128,4,1.20140567969366e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GRM"
3,3,1,2,"true","true",512,2,1.37521968328191e-10,120,"GRM"
4,2,2,4,"true","true",128,4,1.86105835706297e-10,120,"GRM"
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GRM"
12,6,1,2,"true","true",512,16,1.41771404213251e-10,120,"GRM"
2,2,1,2,"true","false",512,4,1.55269439447837e-10,120,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GRM"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"GRM"
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GRM"
6,6,1,2,"true","true",512,8,1.18283916839785e-10,120,"GRM"
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GRM"
10,5,1,2,"true","false",512,16,1.44841221031973e-10,120,"GRM"
6,3,2,4,"true","false",1024,8,1.52941185243508e-10,120,"GRM"
2,2,1,4,"true","false",1024,4,1.67297944886644e-10,120,"GRM"
5,5,1,2,"true","true",512,4,1.180929223999e-10,120,"GRM"
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GRM"
16,4,4,2,"true","false",64,2,1.59530344504245e-10,120,"GRM"
8,4,2,2,"true","false",1024,4,1.44707490966572e-10,120,"GRM"
20,5,4,2,"true","true",128,2,1.49275860125453e-10,120,"GRM"
6,6,1,4,"true","false",128,2,1.18718825467539e-10,120,"GRM"
20,5,4,4,"true","false",128,4,1.49704263241121e-10,120,"GRM"
24,6,4,2,"true","false",64,1,1.42216872824127e-10,120,"GRM"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GRM"
10,5,2,4,"true","true",256,4,1.41563511285379e-10,120,"GRM"
3,3,1,4,"true","true",256,4,1.35697524537269e-10,120,"GRM"
4,4,1,2,"true","true",512,16,1.32628734769169e-10,120,"GRM"
5,5,1,2,"true","false",512,2,1.19264177349936e-10,120,"GRM"
5,5,1,2,"true","false",512,2,1.19264177349936e-10,120,"GRM"
6,3,2,2,"true","false",256,8,1.58601157583617e-10,120,"GRM"
8,4,2,2,"true","true",128,4,1.4493093093373e-10,120,"GRM"
