"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
10,5,2,2,"true","false",64,4,2.22507537411363e-10
4,4,8,2,"true","false",64,4,1.10205225117434e-09
20,5,8,4,"true","false",256,32,5.39469020139664e-10
3,3,4,2,"true","false",512,32,8.13885483479672e-10
18,6,1,2,"true","false",1024,1024,4.25618148719193e-09
16,4,16,2,"true","true",32,1,4.87159107049674e-10
6,6,2,2,"true","true",512,2,2.42752600606636e-10
20,5,1,4,"true","false",64,16,6.37154453847104e-10
18,6,1,4,"true","false",256,16,2.45804288225157e-10
4,2,16,4,"true","true",128,64,7.62352036305573e-09
12,6,2,2,"true","true",128,16,3.64934843695887e-10
20,5,8,4,"true","true",128,128,4.0192533083571e-09
24,6,8,2,"true","false",256,128,2.06521170881126e-09
6,2,2,2,"true","false",512,4,2.58664900460525e-10
12,3,16,4,"true","true",256,2,4.48250780048286e-10
2,2,8,2,"true","true",256,4,8.67008245132771e-10
1,1,16,4,"true","false",64,8,5.67808343173354e-09
12,6,16,2,"true","true",512,512,1.92788593465217e-08
3,3,1,4,"true","true",64,2,1.59139411712327e-10
20,5,8,2,"true","false",256,64,1.02850503052735e-09
2,1,2,2,"true","false",32,16,2.67768167627213e-09
2,1,2,4,"true","true",128,8,4.14585354521574e-10
6,6,8,2,"true","false",32,2,1.10420909161492e-09
12,4,1,2,"true","true",512,2,1.81554782154612e-10
12,6,16,2,"true","false",256,256,1.70704974420352e-08
1,1,2,4,"true","false",128,128,1.06138265276005e-08
6,3,2,2,"true","true",32,16,1.57545832841024e-09
6,3,2,2,"true","true",32,8,8.22795382223466e-10
6,6,8,2,"true","true",32,1,8.10640165473288e-10
4,4,1,4,"true","true",128,128,3.09313824388961e-09
2,1,2,2,"true","false",32,1,4.12711547978923e-10
1,1,16,2,"true","false",128,128,4.20157327584137e-08
4,4,2,2,"true","true",32,2,4.98547614488592e-10
15,5,16,2,"true","false",128,16,1.17772632385577e-09
24,6,1,4,"true","false",512,2,1.54225278217072e-10
24,6,4,2,"true","false",512,16,1.56095501998794e-10
24,6,4,2,"true","true",512,8,1.50673562967193e-10
6,2,16,4,"true","true",256,256,1.02859692776065e-08
6,3,1,2,"true","true",128,64,1.58311734825122e-09
12,4,2,2,"true","true",1024,32,2.46750261453712e-10
8,2,1,2,"true","false",64,2,2.11602953662672e-10
6,2,1,2,"true","true",64,1,2.40407136147256e-10
1,1,2,2,"true","false",32,8,2.71743180261042e-09
9,3,8,2,"true","false",1024,4,3.87402486521416e-10
2,2,8,2,"true","true",128,4,8.70550168000493e-10
6,3,4,2,"true","false",256,8,2.84412832940538e-10
18,6,8,4,"true","true",32,8,1.21566525058839e-09
5,5,1,4,"true","false",512,2,1.22636208874517e-10
3,3,8,4,"true","true",512,1,7.06780724688923e-10
12,6,8,4,"true","true",32,2,6.00989437840043e-10
20,5,8,2,"true","true",1024,4,3.01727943901159e-10
6,3,4,4,"true","false",1024,1,3.53211349387271e-10
12,6,8,2,"true","false",512,256,5.13509874325747e-09
12,4,8,4,"true","false",32,32,4.8577254914629e-09
2,1,8,2,"true","true",256,1,7.26914894966453e-10
6,3,8,2,"true","false",256,128,4.23795171992261e-09
12,4,1,4,"true","false",512,32,2.71968698965779e-10
15,5,8,2,"true","false",256,1,2.86970470814759e-10
4,2,2,2,"true","true",128,1,1.84390604714222e-10
4,4,16,2,"true","true",64,8,3.28249214894751e-09
4,1,4,4,"true","true",128,8,3.90363353413251e-10
1,1,8,2,"true","false",32,4,3.54633434433843e-09
8,2,4,4,"true","true",256,128,1.62222124481642e-09
6,6,2,2,"true","true",64,4,3.92509557773851e-10
5,5,1,4,"true","true",512,64,3.95902505881598e-10
6,3,1,4,"true","false",256,256,3.30427262541595e-09
5,5,1,2,"true","true",512,128,8.05890105555561e-10
12,6,1,2,"true","false",1024,128,4.55317431636846e-10
12,6,8,2,"true","true",512,16,3.69352207889029e-10
4,4,16,2,"true","true",512,2,1.88534196364462e-09
15,5,2,4,"true","true",128,8,2.8495010607013e-10
12,6,4,4,"true","true",1024,256,1.70016965704223e-09
18,6,16,2,"true","true",128,32,2.17957024530871e-09
20,5,8,2,"true","true",512,16,2.60040569698708e-10
8,4,1,4,"true","false",32,32,2.84233644623139e-09
10,5,1,2,"true","true",64,32,1.40989723036649e-09
8,4,2,4,"true","true",64,32,1.48690863367218e-09
10,5,8,2,"true","true",1024,1,4.57894135206868e-10
16,4,1,2,"true","true",512,128,7.17709891908132e-10
8,4,4,4,"true","false",1024,32,2.94360283475621e-10
6,6,1,2,"true","true",1024,32,1.306016079639e-10
24,6,2,2,"true","true",32,32,2.33820831527633e-09
8,4,4,2,"true","false",64,1,2.76977520840477e-10
8,4,2,4,"true","true",32,8,7.50837499660192e-10
20,5,4,2,"true","false",64,2,1.49984207774819e-10
2,2,2,2,"true","true",1024,512,3.99873720473837e-09
5,5,2,2,"true","true",64,4,4.12520913296723e-10
6,2,4,2,"true","true",512,1,2.70807093846752e-10
3,3,2,4,"true","false",1024,1024,7.23345598181408e-09
15,5,8,4,"true","false",128,4,2.91971131847834e-10
8,2,1,2,"true","true",1024,16,2.54227170407038e-10
8,4,4,2,"true","false",1024,8,2.87426475813693e-10
8,2,8,2,"true","true",128,2,3.00097952711365e-10
5,5,8,2,"true","true",256,16,1.04593136718541e-09
6,3,2,2,"true","false",512,8,1.62355378553537e-10
6,2,16,4,"true","false",512,64,1.49560082952002e-09
3,3,8,4,"true","true",1024,1,9.82723171381278e-10
10,5,16,4,"true","false",64,64,1.37776406286764e-08
24,6,8,4,"true","true",512,128,1.20422846066648e-09
16,4,2,4,"true","false",512,256,1.44667536109697e-09
18,6,2,4,"true","true",1024,1,2.34457410369384e-10
12,3,2,2,"true","true",256,128,1.42756382103122e-09
4,1,8,2,"true","false",1024,1,5.93612612301166e-10
6,6,4,4,"true","true",256,32,1.24655904301237e-09
2,2,16,4,"true","true",512,1,1.49051411483636e-09
18,6,1,2,"true","false",1024,1,2.06513104887015e-10
20,5,1,4,"true","false",128,64,1.28764095088063e-09
6,2,16,4,"true","true",512,4,6.45968771369943e-10
10,5,16,2,"true","true",32,4,1.71575985637778e-09
18,6,2,4,"true","false",1024,8,2.21909674449152e-10
4,1,4,2,"true","false",1024,16,3.18491684168267e-10
