"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run","best","point_number","method","slowdown"
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,49,1.22636208874517e-10,119,"LM",1.17255179308334
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,50,1.17642516833282e-10,119,"LM",1.00979555916616
6,6,1,2,"true","true",1024,16,1.20103281224236e-10,51,1.19644084929894e-10,119,"LM",1.03091776073943
4,4,1,4,"true","false",1024,1,1.33364507750663e-10,52,1.17865496298058e-10,119,"LM",1.14474674039701
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,53,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,54,1.2941581237827e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,55,1.36478520881495e-10,119,"LM",1.19765244038585
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,56,1.1808319494789e-10,119,"LM",1.17255179308334
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,57,1.24992786636709e-10,119,"LM",1.07288728829579
1,1,1,4,"true","true",1024,8,2.40470678691862e-10,58,1.1931257630123e-10,119,"LM",2.06410258798557
3,3,1,4,"true","false",1024,32,1.4525192473807e-10,59,1.18628082806223e-10,119,"LM",1.24678349723426
5,5,1,4,"true","false",1024,8,1.23934836150301e-10,60,1.22360757184054e-10,119,"LM",1.06380627123028
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,61,1.18527144018137e-10,119,"LM",1.17207913005986
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,62,1.17842155236017e-10,119,"LM",1.01417685045184
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,63,1.17642516833282e-10,119,"LM",1.00979555916616
3,3,1,2,"true","true",1024,16,1.39528091700916e-10,64,1.25460339973732e-10,119,"LM",1.19765244038585
6,6,1,2,"true","true",1024,16,1.20103281224236e-10,65,1.19644084929894e-10,119,"LM",1.03091776073943
5,5,1,4,"true","true",1024,16,1.26535757573826e-10,66,1.21238783742256e-10,119,"LM",1.08613152381679
6,6,1,4,"true","true",1024,2,1.18398283203908e-10,67,1.16501321248061e-10,119,"LM",1.01628275057763
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,68,1.17642516833282e-10,119,"LM",1.00979555916616
4,4,1,4,"true","false",1024,16,1.2941581237827e-10,69,1.25778542785017e-10,119,"LM",1.11085274391618
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,70,1.17842155236017e-10,119,"LM",1.01417685045184
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,71,1.17842155236017e-10,119,"LM",1.01417685045184
2,2,1,2,"true","false",1024,4,1.60303866149281e-10,72,1.58121207783774e-10,119,"LM",1.37598324578613
6,6,1,2,"true","false",1024,16,1.19644084929894e-10,73,1.19614452797975e-10,119,"LM",1.02697620634826
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,74,1.25778542785017e-10,119,"LM",1.07963189977221
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,75,1.20103281224236e-10,119,"LM",1.37886759691887
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,76,1.25213701500642e-10,119,"LM",1.17207913005986
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,77,1.22766141901421e-10,119,"LM",1.17255179308334
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,78,1.17842155236017e-10,119,"LM",1.01417685045184
6,6,1,4,"true","true",1024,1,1.29667282018423e-10,79,1.18483530341257e-10,119,"LM",1.1130112571198
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,80,1.17642516833282e-10,119,"LM",1.01488180994275
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,81,1.17642516833282e-10,119,"LM",1.01488180994275
6,6,1,2,"true","true",512,1,1.19115341444505e-10,82,1.19017365172127e-10,119,"LM",1.02243768713042
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,83,1.17842155236017e-10,119,"LM",1.01417685045184
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,84,1.25778542785017e-10,119,"LM",1.07963189977221
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,85,1.17842155236017e-10,119,"LM",1.01417685045184
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,86,1.25373995702647e-10,119,"LM",1.0761594320093
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,87,1.17642516833282e-10,119,"LM",1.00979555916616
4,4,1,4,"true","false",1024,16,1.2941581237827e-10,88,1.27991660200843e-10,119,"LM",1.11085274391618
2,2,1,2,"true","false",1024,16,1.6667846484997e-10,89,1.25718814598265e-10,119,"LM",1.43070021064455
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,90,1.17642516833282e-10,119,"LM",1.01488180994275
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,91,1.36548767259252e-10,119,"LM",1.17207913005986
3,3,1,2,"true","true",1024,8,1.36548767259252e-10,92,1.27430932130334e-10,119,"LM",1.17207913005986
6,6,1,4,"true","true",1024,32,1.28655386741334e-10,93,1.18235071768955e-10,119,"LM",1.10432555925605
2,2,1,2,"true","true",1024,8,1.60639896867188e-10,94,1.24879203669815e-10,119,"LM",1.37886759691887
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,95,1.17842155236017e-10,119,"LM",1.01417685045184
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,96,1.17842155236017e-10,119,"LM",1.01417685045184
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,97,1.20524589039226e-10,119,"LM",1.17255179308334
3,3,1,2,"true","false",1024,4,1.36603833125993e-10,98,1.2942682127942e-10,119,"LM",1.17255179308334
6,6,1,2,"true","true",1024,8,1.18235071768955e-10,99,1.17642516833282e-10,119,"LM",1.01488180994275
6,6,1,2,"true","true",512,4,1.1835008391896e-10,100,1.1835008391896e-10,119,"LM",1.01586902750195
