"","elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel"
"197861",24,6,2,4,"true","true",128,2,1.41639115932257e-10
"22834",8,2,4,2,"true","true",256,4,2.05958342600532e-10
"7318",12,3,1,2,"true","true",1024,16,2.1340666844676e-10
"7004",6,2,1,2,"true","true",256,64,9.94401956086144e-10
"13708",5,5,8,2,"true","true",512,128,4.12873767979385e-09
"12655",2,1,2,2,"true","false",1024,8,2.50111116142312e-10
"22893",12,4,4,2,"true","true",128,16,4.92410297840618e-10
"21362",18,6,4,2,"true","false",64,2,1.84551837435773e-10
"5173",2,1,2,2,"true","true",128,2,2.69262520295719e-10
"12977",10,5,8,2,"true","false",128,4,3.60862420999103e-10
"16263",12,4,8,2,"true","false",256,32,7.36669796911867e-10
"3693",2,2,8,2,"true","true",512,16,8.45246123250887e-10
"18635",12,3,4,2,"true","true",1024,64,2.76304487879226e-10
"17754",5,5,1,2,"true","true",1024,32,1.25947020865076e-10
"14870",12,3,4,2,"true","true",128,2,1.75475275169667e-10
"16441",6,3,2,4,"true","false",1024,16,1.52554038682594e-10
"15211",4,4,1,4,"true","false",512,8,1.25366521299284e-10
"13520",9,3,2,4,"true","true",256,8,2.25849895829434e-10
"4826",4,1,4,4,"true","true",512,32,3.91392942508509e-10
"14258",6,6,1,2,"true","false",128,4,1.17732534790262e-10
"18197",12,3,16,2,"true","true",1024,512,4.48505868362398e-09
"14331",8,2,2,4,"true","false",1024,256,9.07546350921613e-10
"73011",8,2,1,4,"true","false",128,4,2.07899614413689e-10
"1157",4,1,8,2,"true","true",512,256,3.3505413475006e-09
"164721",16,4,4,2,"true","false",64,1,1.57541884431333e-10
"2797",1,1,1,4,"true","false",64,16,1.3605005302263e-09
"169741",12,3,1,4,"true","true",128,2,1.72925900783062e-10
"16080",2,1,2,4,"true","false",1024,16,2.50825972132783e-10
"88631",4,2,2,2,"true","true",1024,8,1.74376790866456e-10
"17571",8,2,16,2,"true","false",256,64,2.04390825074978e-09
"12928",8,4,4,4,"true","false",32,16,2.46792024649744e-09
"10849",6,2,4,2,"true","false",128,32,1.1224345671637e-09
"9325",5,5,1,2,"true","false",1024,8,1.22360757184054e-10
"4917",4,4,1,2,"true","true",512,2,1.26998171643399e-10
"11159",5,5,8,2,"true","false",128,8,1.03365285269881e-09
"4620",4,4,1,4,"true","false",128,4,1.26761029509907e-10
"51731",2,1,2,2,"true","true",128,2,2.69262520295719e-10
"3605",2,1,16,4,"true","true",512,64,2.89735629240528e-09
"1603",4,2,2,2,"true","true",128,2,1.84294389598871e-10
"17432",12,4,4,4,"true","true",128,64,1.71581436606955e-09
"14336",6,3,2,4,"true","true",128,2,1.59310753058631e-10
"7230",15,5,1,2,"true","false",512,4,1.74743548883907e-10
"10347",15,5,4,2,"true","false",256,16,2.89185258570724e-10
"30341",2,2,1,2,"true","false",512,4,1.55269439447837e-10
"6855",12,6,16,4,"true","false",256,32,1.78696149003473e-09
"12071",8,2,8,4,"true","false",128,64,2.36718652988002e-09
"9262",10,5,2,4,"true","true",512,4,1.40742193789431e-10
"84221",8,2,4,4,"true","false",512,4,2.07668615016469e-10
"16843",5,5,1,2,"true","false",128,16,3.66507719188093e-10
"2628",4,2,4,4,"true","true",128,32,1.64537710811401e-09
"14391",6,3,1,4,"true","true",1024,32,1.64234347027882e-10
"14976",8,2,2,4,"true","true",512,4,2.07631524819062e-10
"2894",3,1,1,2,"true","true",512,16,3.30030679416119e-10
"20595",8,4,2,4,"true","false",1024,128,4.55079559509264e-10
"172111",9,3,4,2,"true","false",256,2,2.21233294076482e-10
"3920",3,3,1,2,"true","true",128,2,1.37756460324827e-10
"1373",4,4,1,2,"true","false",128,4,1.28025322109481e-10
"21915",24,6,1,2,"true","true",512,8,1.50151943867924e-10
"205141",8,4,2,2,"true","false",128,1,1.44946489136578e-10
"1124",2,1,8,4,"true","false",512,128,3.38444647485438e-09
"20362",5,5,1,2,"true","true",256,1,1.18611767942795e-10
"1712",2,2,4,4,"true","true",256,128,6.29047609172743e-09
"5824",2,2,1,2,"true","true",512,4,1.55607518446307e-10
"5843",2,2,4,4,"true","false",512,128,3.23099053376052e-09
"6801",18,6,1,4,"true","true",256,1,1.63579677758031e-10
"23111",6,6,1,4,"true","true",512,64,3.9612430178648e-10
"3964",4,1,2,4,"true","true",32,16,2.33203042761474e-09
"16868",2,1,1,2,"true","false",1024,512,2.72296886093289e-09
"1540",2,1,2,4,"true","false",256,2,2.68810463805249e-10
"12072",9,3,4,2,"true","true",512,4,2.21249790164854e-10
"16605",8,2,4,2,"true","false",1024,16,2.52549667824561e-10
"6906",20,5,2,2,"true","true",512,8,1.56657491153631e-10
"14688",15,5,1,2,"true","true",1024,128,4.86656254767126e-10
"14048",15,5,16,2,"true","true",64,32,4.15321085843616e-09
"1671",2,1,8,2,"true","false",512,32,1.0452622550246e-09
"5189",4,1,4,4,"true","true",64,2,3.09983879460058e-10
"9165",8,2,1,4,"true","true",128,1,2.04604553028003e-10
"18318",20,5,4,2,"true","true",256,2,1.5022536007427e-10
"16777",24,6,2,4,"true","false",64,8,3.30834777189812e-10
"16358",18,6,1,4,"true","false",1024,512,1.94702538961328e-09
"1586",2,1,16,2,"true","true",512,32,1.7097237144334e-09
"203621",5,5,1,2,"true","true",256,1,1.18611767942795e-10
"15311",6,3,2,4,"true","true",1024,64,2.60021727905516e-10
"17258",6,6,1,2,"true","true",256,1,1.17919974204394e-10
"15162",24,6,8,2,"true","true",64,32,1.9111871439232e-09
"12747",5,5,4,2,"true","true",1024,32,4.49618785247126e-10
"4077",4,1,1,2,"true","true",512,32,3.91362030033223e-10
"12350",9,3,8,4,"true","true",128,8,4.77363407899828e-10
"45882",2,2,1,2,"true","false",128,2,1.5624413559592e-10
"512",2,1,2,2,"true","true",512,128,1.39314359788381e-09
"161921",9,3,4,2,"true","true",256,8,2.23786994406016e-10
"30342",2,2,1,2,"true","false",512,4,1.55269439447837e-10
"21490",2,1,2,2,"true","true",1024,16,2.51795241814533e-10
"805",2,2,1,2,"true","true",128,4,1.57042856566909e-10
"13384",15,5,1,4,"true","false",256,32,4.14866532642673e-10
"16888",18,6,1,2,"true","false",512,256,1.65941813145157e-09
"18423",12,3,4,2,"true","true",512,8,1.78452789991163e-10
"220981",5,5,1,2,"true","false",512,4,1.17865496298058e-10
"142581",6,6,1,2,"true","false",128,4,1.17732534790262e-10
"143361",6,3,2,4,"true","true",128,2,1.59310753058631e-10
"51732",2,1,2,2,"true","true",128,2,2.69262520295719e-10
"3440",4,4,8,2,"true","true",512,16,6.73207130363812e-10
"20670",12,4,16,4,"true","false",128,64,4.40898135440062e-09
"16279",20,5,1,4,"true","true",128,2,1.48145545150799e-10
"15430",20,5,2,2,"true","false",64,1,1.4731005264292e-10
"1343",4,4,1,2,"true","true",256,128,1.54280048067409e-09
"2575",4,2,16,2,"true","true",128,8,1.21122787103366e-09
"14736",6,6,16,2,"true","true",512,128,7.76821234098034e-09
"204132",15,5,1,4,"true","false",128,4,1.73683539970295e-10
"13043",5,5,4,2,"true","false",512,128,2.71529081225735e-09
"2723",3,1,1,2,"true","false",128,16,7.90814063875463e-10
"12412",15,5,8,2,"true","true",512,32,4.38708321976057e-10
"18041",18,6,1,4,"true","false",128,4,1.64625219965728e-10
"22441",24,6,4,2,"true","false",256,64,6.68488036701464e-10
"17980",24,6,8,4,"true","false",512,128,1.2048923236726e-09
"20532",12,3,1,2,"true","false",128,32,7.22869980731326e-10
"183711",8,4,2,2,"true","true",1024,16,1.43169217579077e-10
"19427",8,4,2,2,"true","false",256,128,1.52823428469805e-09
"45412",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"15513",20,5,4,2,"true","true",64,2,1.50715622973087e-10
"3475",2,2,8,2,"true","false",128,8,1.38129141493819e-09
"51733",2,1,2,2,"true","true",128,2,2.69262520295719e-10
"54351",4,1,4,2,"true","true",128,1,3.00554927648439e-10
"15511",4,4,1,4,"true","true",256,2,1.24879203669815e-10
"4684",4,2,1,2,"true","false",256,8,1.81182095810127e-10
"5816",3,1,16,4,"true","false",256,128,7.13242089780887e-09
"18377",12,4,4,4,"true","false",512,128,9.60108913359016e-10
"19685",20,5,4,2,"true","false",512,64,3.71542835718244e-10
"22261",10,5,8,4,"true","true",128,16,9.83774158699919e-10
"45883",2,2,1,2,"true","false",128,2,1.5624413559592e-10
"17701",12,6,2,4,"true","false",512,4,1.3540030760049e-10
"172581",6,6,1,2,"true","true",256,1,1.17919974204394e-10
"21106",12,6,8,4,"true","true",128,4,3.46980194705005e-10
"9036",2,2,16,2,"true","false",1024,128,4.19822439956617e-09
"54352",4,1,4,2,"true","true",128,1,3.00554927648439e-10
"14329",5,5,1,4,"true","true",1024,4,1.22537313322951e-10
"21556",15,5,2,2,"true","true",256,128,1.77058986936543e-09
"14305",20,5,4,4,"true","false",128,1,1.48754738201527e-10
"17223",6,6,16,2,"true","true",256,64,7.10559354791144e-09
"18850",24,6,8,2,"true","true",64,16,9.556829465188e-10
"9886",20,5,16,2,"true","false",512,256,4.18325928398762e-09
"45413",4,2,1,2,"true","false",256,2,1.79879678295205e-10
"10193",12,6,8,4,"true","false",128,4,3.45732948543617e-10
"197862",24,6,2,4,"true","true",128,2,1.41639115932257e-10
"18435",24,6,1,4,"true","false",256,16,1.99360689219909e-10
"2768",3,1,2,2,"true","false",128,32,1.60472044753058e-09
"13006",16,4,2,2,"true","true",512,8,1.64829577019825e-10
"19610",20,5,2,4,"true","false",64,2,1.49337059342872e-10
"6110",4,4,8,2,"true","false",128,64,7.69852471552253e-09
"7217",24,6,4,2,"true","true",256,4,1.43377486488586e-10
"12908",2,2,1,2,"true","true",1024,512,2.05095098859241e-09
"8800",6,6,16,4,"true","true",32,16,1.10678782621159e-08
"394",2,1,2,2,"true","false",256,4,2.68275526978507e-10
"19818",12,4,4,4,"true","false",128,16,4.9332487158453e-10
"180721",3,3,1,2,"true","true",1024,8,1.36548767259252e-10
"62391",3,3,1,4,"true","true",256,4,1.35697524537269e-10
"21567",18,6,1,4,"true","false",256,2,1.64169929393176e-10
"7921",4,2,1,2,"true","false",128,1,1.81710718902162e-10
"17349",8,2,4,4,"true","true",1024,32,2.57209677997473e-10
"51734",2,1,2,2,"true","true",128,2,2.69262520295719e-10
"19924",12,3,4,2,"true","false",64,1,1.73350952378822e-10
"64181",5,5,1,2,"true","false",128,2,1.18427245214453e-10
"8308",18,6,4,2,"true","false",256,1,1.82091761630176e-10
"7628",12,6,2,4,"true","true",512,4,1.34066482063271e-10
