"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method"
10,5,2,4,"true","false",256,2,1.41321341327822e-10,17,"GR"
24,6,4,4,"true","true",128,1,1.42986124513889e-10,22,"GR"
20,5,4,4,"true","true",128,1,1.48373401207609e-10,27,"GR"
4,2,2,2,"true","true",1024,8,1.74376790866456e-10,31,"GR"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,30,"GR"
20,5,1,4,"true","true",128,2,1.48145545150799e-10,23,"GR"
9,3,4,4,"true","true",128,32,9.66602435242366e-10,15,"GR"
18,6,4,2,"true","false",256,1,1.82091761630176e-10,23,"GR"
9,3,4,4,"true","true",256,2,2.24529425080229e-10,17,"GR"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,61,"GR"
6,3,16,4,"true","true",128,16,1.83949514394691e-09,17,"GR"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,25,"GR"
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,21,"GR"
24,6,4,2,"true","false",128,4,1.43466465095796e-10,32,"GR"
8,2,8,4,"true","false",256,16,4.17290489582145e-10,28,"GR"
6,6,8,4,"true","true",256,16,1.03678251598535e-09,9,"GR"
4,4,16,4,"true","true",128,8,1.90479188491115e-09,8,"GR"
9,3,4,2,"true","true",256,8,2.23786994406016e-10,32,"GR"
20,5,4,2,"true","false",128,4,1.49116436529261e-10,17,"GR"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,39,"GR"
4,1,4,4,"true","false",512,4,3.03402819809477e-10,39,"GR"
12,3,1,4,"true","false",128,16,3.95638794154166e-10,17,"GR"
12,6,2,2,"true","true",64,2,1.37438647006306e-10,27,"GR"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,39,"GR"
4,1,4,4,"true","false",128,1,3.00631855275054e-10,53,"GR"
20,5,8,2,"true","false",1024,128,6.38416975495685e-10,6,"GR"
12,6,2,4,"true","true",512,256,1.64182363284572e-09,7,"GR"
2,1,2,2,"true","false",1024,128,7.44928402730084e-10,11,"GR"
2,2,1,4,"true","true",1024,512,2.06261340996132e-09,12,"GR"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,16,"GR"
10,5,16,2,"true","false",256,64,3.42856550043568e-09,8,"GR"
15,5,1,2,"true","true",256,8,1.72926804565186e-10,28,"GR"
3,1,4,4,"true","true",128,32,1.6105754847407e-09,11,"GR"
3,3,1,4,"true","false",128,2,1.36120252443834e-10,7,"GR"
8,4,2,2,"true","true",64,4,2.30921595449151e-10,9,"GR"
9,3,1,2,"true","true",512,32,2.9414160557176e-10,8,"GR"
12,3,1,4,"true","true",128,2,1.72925900783062e-10,9,"GR"
4,4,1,4,"true","true",128,2,1.2616196070333e-10,42,"GR"
8,2,2,2,"true","true",256,2,2.05429010090939e-10,65,"GR"
4,2,2,4,"true","true",1024,32,1.7554765736145e-10,36,"GR"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,26,"GR"
24,6,4,2,"true","false",64,1,1.42216872824127e-10,25,"GR"
6,6,2,4,"true","true",128,64,2.86377414211509e-09,7,"GR"
2,2,1,4,"true","false",128,4,1.60938879230319e-10,18,"GR"
12,6,16,2,"true","true",128,32,3.1984597592594e-09,8,"GR"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,96,"GR"
10,5,2,4,"true","false",256,2,1.41321341327822e-10,8,"GR"
1,1,1,2,"true","true",1024,64,4.07368261810325e-10,8,"GR"
4,2,1,2,"true","false",128,1,1.81710718902162e-10,51,"GR"
4,4,1,4,"true","true",256,2,1.24879203669815e-10,52,"GR"
1,1,1,2,"true","true",256,8,2.29302805194727e-10,18,"GR"
4,2,1,2,"true","false",256,8,1.81182095810127e-10,9,"GR"
2,1,2,2,"true","true",128,2,2.69262520295719e-10,57,"GR"
20,5,4,4,"true","false",128,2,1.48913681600017e-10,25,"GR"
1,1,1,4,"true","true",512,128,1.38969943839703e-09,9,"GR"
15,5,1,2,"true","true",256,8,1.72926804565186e-10,16,"GR"
24,6,1,4,"true","false",256,8,1.44483256505832e-10,16,"GR"
4,1,4,2,"true","false",128,4,3.09699436829601e-10,30,"GR"
6,3,1,4,"true","true",128,8,2.4725154976078e-10,24,"GR"
2,1,2,2,"true","true",128,2,2.69262520295719e-10,30,"GR"
6,6,8,2,"true","true",128,4,6.02754257219495e-10,9,"GR"
2,1,4,2,"true","true",512,128,2.35661717268145e-09,21,"GR"
6,2,4,4,"true","false",512,64,6.27654843189997e-10,11,"GR"
10,5,8,2,"true","false",512,32,5.82256206046068e-10,9,"GR"
2,1,2,2,"true","false",256,4,2.68275526978507e-10,45,"GR"
8,4,1,4,"true","true",32,16,1.44115467304626e-09,6,"GR"
12,6,1,2,"true","false",512,2,1.37433629960714e-10,12,"GR"
4,4,1,4,"true","false",512,8,1.25366521299284e-10,16,"GR"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,40,"GR"
10,5,4,4,"true","true",1024,128,7.81446179070557e-10,7,"GR"
2,1,16,4,"true","false",512,64,2.89411513302826e-09,34,"GR"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,34,"GR"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,21,"GR"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,53,"GR"
10,5,2,4,"true","false",512,64,4.09333118316278e-10,9,"GR"
4,2,2,2,"true","true",1024,8,1.74376790866456e-10,51,"GR"
4,2,1,2,"true","true",128,32,9.58972458141155e-10,15,"GR"
5,5,1,2,"true","false",256,4,1.17561537135523e-10,15,"GR"
4,1,4,2,"true","true",128,8,3.91767245002817e-10,11,"GR"
3,3,1,4,"true","false",512,2,1.35341152549115e-10,23,"GR"
16,4,4,4,"true","false",128,2,1.57306422896745e-10,9,"GR"
2,2,1,2,"true","true",1024,32,1.64959521349263e-10,34,"GR"
20,5,8,4,"true","false",512,32,3.36243442679651e-10,7,"GR"
6,3,1,2,"true","true",1024,8,1.55095037351769e-10,8,"GR"
4,4,1,4,"true","false",128,2,1.25109511762482e-10,15,"GR"
12,4,4,2,"true","false",128,16,4.95935134127522e-10,19,"GR"
2,1,8,4,"true","false",512,256,6.57791061068456e-09,17,"GR"
2,1,8,2,"true","true",512,16,6.91203186909208e-10,60,"GR"
15,5,4,2,"true","false",256,2,1.90104055759067e-10,32,"GR"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,44,"GR"
8,2,4,2,"true","true",256,8,2.10049064587982e-10,19,"GR"
4,2,2,4,"true","true",1024,32,1.7554765736145e-10,18,"GR"
4,1,4,2,"true","false",128,4,3.09699436829601e-10,21,"GR"
4,1,4,4,"true","true",512,4,3.04319992384667e-10,29,"GR"
9,3,4,2,"true","true",512,4,2.21249790164854e-10,25,"GR"
9,3,4,2,"true","false",64,2,2.24658579063633e-10,25,"GR"
8,4,2,2,"true","true",128,4,1.4493093093373e-10,41,"GR"
12,4,16,2,"true","false",128,16,1.19759978564752e-09,9,"GR"
2,2,1,2,"true","true",256,128,1.86610897476958e-09,7,"GR"
15,5,1,2,"true","true",512,2,1.73065337330275e-10,7,"GR"
5,5,1,4,"true","false",1024,128,4.34276726295771e-10,14,"GR"
24,6,8,4,"true","true",256,32,5.44773265174105e-10,9,"GR"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,28,"GR"
8,4,2,2,"true","true",512,2,1.45687214384638e-10,33,"GR"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,87,"GR"
24,6,1,2,"true","true",256,128,1.34852192662962e-09,6,"GR"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,39,"GR"
9,3,8,4,"true","true",256,128,2.85138527357488e-09,7,"GR"
9,3,1,2,"true","true",512,4,1.98408414891747e-10,22,"GR"
8,2,1,2,"true","true",256,2,2.06024331034217e-10,15,"GR"
2,2,8,2,"true","true",1024,256,5.12318829017412e-09,9,"GR"
4,2,8,2,"true","false",128,8,7.46396071004324e-10,10,"GR"
20,5,2,4,"true","true",32,8,6.35383714095811e-10,8,"GR"
24,6,4,4,"true","false",128,4,1.44253714063152e-10,25,"GR"
6,3,2,4,"true","false",1024,16,1.52554038682594e-10,44,"GR"
5,5,1,2,"true","true",256,4,1.17379768662026e-10,24,"GR"
20,5,2,4,"true","false",128,4,1.49566703992746e-10,32,"GR"
3,3,2,4,"true","true",256,64,1.62545289116067e-09,9,"GR"
2,1,8,4,"true","true",512,32,1.0451377647534e-09,12,"GR"
20,5,2,4,"true","false",64,2,1.49337059342872e-10,24,"GR"
5,5,1,2,"true","false",128,2,1.18427245214453e-10,20,"GR"
15,5,16,4,"true","true",64,16,2.0923575979759e-09,8,"GR"
12,3,2,2,"true","true",64,1,1.73348646629763e-10,46,"GR"
9,3,2,4,"true","false",128,32,9.63830139368183e-10,9,"GR"
20,5,16,2,"true","false",128,16,9.10750405408881e-10,8,"GR"
3,1,2,2,"true","true",256,128,3.0634887979192e-09,9,"GR"
2,1,8,2,"true","false",512,16,6.86483425057645e-10,32,"GR"
6,3,2,2,"true","true",512,2,1.61971939787545e-10,18,"GR"
15,5,4,4,"true","false",256,2,1.92100902929405e-10,9,"GR"
8,2,2,2,"true","true",256,2,2.05429010090939e-10,27,"GR"
12,6,2,2,"true","true",512,8,1.34502841297936e-10,41,"GR"
2,2,1,4,"true","false",128,32,9.37100990980326e-10,15,"GR"
12,6,8,4,"true","false",256,64,2.01416559290922e-09,9,"GR"
2,2,1,2,"true","true",512,4,1.55607518446307e-10,25,"GR"
10,5,2,2,"true","false",512,16,1.43737559930213e-10,25,"GR"
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,31,"GR"
3,1,8,2,"true","true",512,64,1.27100351370839e-09,21,"GR"
3,3,4,2,"true","true",512,128,2.9293733665442e-09,9,"GR"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,55,"GR"
4,2,2,4,"true","false",128,1,1.86613080786787e-10,44,"GR"
15,5,4,2,"true","true",512,64,5.04821344994651e-10,9,"GR"
2,1,2,4,"true","false",1024,16,2.50825972132783e-10,42,"GR"
6,2,2,2,"true","false",512,64,6.29152279046942e-10,11,"GR"
9,3,1,2,"true","false",256,8,2.00107181156754e-10,15,"GR"
3,1,1,2,"true","false",128,4,3.29301384994231e-10,19,"GR"
4,1,4,2,"true","false",256,2,3.03101967896442e-10,36,"GR"
24,6,4,4,"true","false",256,8,1.46168804899202e-10,17,"GR"
2,2,1,4,"true","true",1024,128,5.13963219925696e-10,8,"GR"
4,1,4,4,"true","false",128,1,3.00631855275054e-10,40,"GR"
8,2,16,4,"true","true",512,256,4.11860911617455e-09,6,"GR"
6,3,8,2,"true","false",256,128,4.23795171992261e-09,8,"GR"
9,3,1,4,"true","false",64,2,2.01249270575334e-10,15,"GR"
2,2,1,2,"true","true",512,4,1.55607518446307e-10,9,"GR"
6,3,2,2,"true","false",128,4,1.5817793699039e-10,29,"GR"
3,3,1,4,"true","true",256,1,1.36263397941189e-10,27,"GR"
6,6,1,4,"true","true",512,8,1.18144018844621e-10,37,"GR"
24,6,1,2,"true","true",256,2,1.45429235738413e-10,7,"GR"
4,2,1,2,"true","true",128,16,5.06790315716938e-10,17,"GR"
4,2,8,2,"true","true",128,64,4.65011006655239e-09,8,"GR"
8,2,4,4,"true","true",1024,16,2.54436132834948e-10,26,"GR"
2,1,2,2,"true","true",128,2,2.69262520295719e-10,41,"GR"
4,4,1,4,"true","true",1024,512,1.77872867624897e-09,5,"GR"
12,6,2,4,"true","false",512,256,1.63020204303616e-09,7,"GR"
24,6,2,4,"true","true",64,32,1.25255736217427e-09,7,"GR"
12,6,2,4,"true","true",64,2,1.37227036791841e-10,9,"GR"
2,1,2,2,"true","true",1024,8,2.50807208898201e-10,84,"GR"
8,4,16,2,"true","true",128,32,3.21473312550678e-09,8,"GR"
6,6,1,4,"true","false",128,4,1.20370127713727e-10,8,"GR"
2,2,1,2,"true","true",256,4,1.55549103506316e-10,28,"GR"
24,6,1,4,"true","false",256,2,1.43321809384467e-10,7,"GR"
20,5,2,2,"true","false",64,1,1.4731005264292e-10,15,"GR"
1,1,1,2,"true","true",512,128,1.38943619484896e-09,9,"GR"
6,6,4,4,"true","false",1024,32,4.65118794732863e-10,7,"GR"
6,3,1,4,"true","true",512,8,1.5860983883948e-10,17,"GR"
8,4,2,2,"true","true",256,64,7.67082108678746e-10,9,"GR"
4,2,2,4,"true","false",512,4,1.83068676075013e-10,20,"GR"
