"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
1,1,4,4,"true","true",64,16,4.60457402809652e-09,3
2,2,2,4,"true","false",256,4,3.38206333531345e-10,3
10,5,4,4,"true","false",32,32,4.67996558900648e-09,3
12,4,2,2,"true","false",256,8,2.06033167513439e-10,3
12,3,4,2,"true","true",1024,256,8.38585317518313e-10,3
24,6,1,2,"true","false",64,64,2.63554242988111e-09,3
4,1,8,4,"true","false",128,32,1.77554408655125e-09,3
3,1,1,2,"true","false",32,32,5.30953574292815e-09,3
5,5,4,4,"true","true",1024,128,1.50322705953839e-09,4
10,5,1,4,"true","true",1024,2,1.60330048468792e-10,4
3,1,4,2,"true","false",512,16,3.69779314550705e-10,4
4,2,1,4,"true","false",32,16,1.85858658497043e-09,4
3,3,4,4,"true","false",256,2,5.17703835452125e-10,4
4,2,2,4,"true","true",1024,4,1.77569486142909e-10,4
4,2,2,4,"true","false",32,4,5.18761277859216e-10,4
16,4,16,2,"true","true",512,4,5.67768040199542e-10,4
1,1,4,2,"true","true",512,1,8.36403588715824e-10,4
4,1,8,4,"true","false",128,32,1.77554408655125e-09,4
4,2,1,2,"true","false",256,4,1.82562193570838e-10,4
12,4,4,2,"true","false",256,32,5.01768419215063e-10,4
15,5,16,4,"true","true",256,1,6.26932790687896e-10,4
3,1,2,2,"true","true",128,32,1.60804997669079e-09,4
5,5,2,2,"true","true",256,8,2.61988297601327e-10,4
6,6,4,2,"true","false",64,16,2.33426991492482e-09,4
12,3,8,4,"true","false",512,128,1.15548098561236e-09,4
2,2,2,2,"true","true",256,8,3.38435135750338e-10,4
4,4,8,2,"true","true",32,2,1.26396290516649e-09,4
24,6,4,2,"true","false",512,8,1.50133638159404e-10,4
3,1,2,2,"true","false",512,1,3.78374318413929e-10,4
4,4,2,2,"true","true",512,512,6.5024267391093e-09,4
2,1,16,4,"true","true",128,32,5.51002919367487e-09,4
4,2,4,2,"true","true",512,8,3.26650924796378e-10,4
1,1,4,4,"true","true",256,64,4.6216232573796e-09,4
5,5,4,2,"true","false",1024,512,6.56176697715732e-09,4
18,6,8,2,"true","false",512,8,3.76479719105855e-10,4
3,3,1,4,"true","false",1024,4,1.38271566642236e-10,4
16,4,4,2,"true","false",512,4,1.65651620699328e-10,4
2,1,8,4,"true","false",512,4,6.99114410073156e-10,4
4,2,1,4,"true","true",128,2,1.94297552499709e-10,4
4,2,4,4,"true","false",128,16,8.82047057502509e-10,4
6,6,16,2,"true","true",128,16,3.11074542986673e-09,4
12,6,2,4,"true","false",256,256,3.12614778232642e-09,4
1,1,16,2,"true","false",512,1,1.97479536873693e-09,4
12,4,4,4,"true","true",64,4,3.02939971407239e-10,4
6,2,2,2,"true","true",512,8,2.63332678924627e-10,4
6,3,16,4,"true","true",128,128,1.39115831223709e-08,4
9,3,2,2,"true","true",512,16,2.24731544573464e-10,4
4,4,2,4,"true","false",256,8,2.84061645529776e-10,4
