"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","run"
3,1,4,2,"true","false",1024,32,3.86653796191159e-10,2
1,1,8,2,"true","true",128,4,1.29113095520123e-09,2
5,5,8,2,"true","true",64,64,1.63515514829384e-08,2
2,1,8,2,"true","false",1024,32,7.74566422503717e-10,2
20,5,1,4,"true","true",512,16,1.639656621027e-10,2
16,4,2,4,"true","true",1024,1,2.13097254233615e-10,2
8,2,4,2,"true","false",128,2,2.09184634333767e-10,2
6,3,8,4,"true","true",256,2,4.05211544345058e-10,2
5,5,4,2,"true","true",128,4,4.33666329093151e-10,2
20,5,2,4,"true","false",512,32,2.16218028923093e-10,2
6,6,4,2,"true","true",512,256,5.69629999727361e-09,2
20,5,8,2,"true","true",32,1,2.67401521612687e-10,2
24,6,2,2,"true","false",256,128,1.3375177268578e-09,2
5,5,8,4,"true","true",32,32,1.42310072169624e-08,2
16,4,8,2,"true","false",32,2,3.49536220778401e-10,2
12,3,16,2,"true","false",256,256,7.21345577366576e-09,2
3,1,8,2,"true","true",256,32,1.28958114137515e-09,2
12,4,1,4,"true","true",64,32,1.51655647247082e-09,2
24,6,1,4,"true","true",512,128,7.13514842851402e-10,2
6,2,1,2,"true","false",256,16,3.39007614628715e-10,2
4,2,4,4,"true","true",512,256,3.26478493277028e-09,2
10,5,16,4,"true","true",64,8,1.64210898098918e-09,2
6,3,2,4,"true","false",512,512,3.45058862092003e-09,2
12,3,16,2,"true","true",512,256,3.84601344961822e-09,2
6,6,4,2,"true","false",512,1,4.05989622836863e-10,2
6,6,2,2,"true","true",128,8,3.91133478750733e-10,2
10,5,8,2,"true","true",256,2,3.60626816749881e-10,2
4,1,4,4,"true","false",512,2,3.12876748491156e-10,2
12,6,2,4,"true","true",256,256,3.13703121369963e-09,2
4,2,8,4,"true","true",1024,256,2.61695498990676e-09,2
6,2,4,2,"true","true",32,16,2.12631387490571e-09,2
2,2,2,2,"true","true",64,64,7.55855948019367e-09,2
12,6,4,2,"true","true",32,16,2.24473984829689e-09,2
9,3,2,4,"true","true",128,128,3.682174819488e-09,2
